timestamp;name;errorForTrainer;"exception.stackTraceString";"exception.innerException.message";"exception.failedRecipient"
"Nov 23, 2020 @ 17:26:35.000";"Judy WALL";0;;;
"Nov 22, 2020 @ 08:08:08.000";"Timothy HUNTER";1;"System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.ConnectAsync(HttpRequestMessage request, Boolean allowHttp2, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.CreateHttp11ConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.GetHttpConnectionAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpConnectionPool.SendWithRetryAsync(HttpRequestMessage request, Boolean doRequestAuth, CancellationToken cancellationToken)   at System.Net.Http.RedirectHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.DiagnosticsHandler.SendAsync(HttpRequestMessage request, CancellationToken cancellationToken)   at System.Net.Http.HttpClient.FinishSendAsyncBuffered(Task`1 sendTask, HttpRequestMessage request, CancellationTokenSource cts, Boolean disposeCts)   at Web_API_Service.Controllers.ElkCheckController.AbuseThisGenerater(Int32 amount) in C:\Users\Jens Jesen\Source\Repos\Sem4Company\Web_API_Service\Controllers\ElkCheckController.cs:line 539";"System.Net.Sockets.SocketException (11001): Værten kendes ikke. at System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)";
"Nov 17, 2020 @ 23:52:57.000";"Danielle MARSH";0;;;
"Nov 17, 2020 @ 20:04:02.000";"Mark PATRICK";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";;"<unknown@example.com>: host example.com [123.123.123.123] said: 550 5.1.1 <unknown@example.com>: Recipient address rejected: User unknown in relay recipient table"
"Nov 17, 2020 @ 01:59:07.000";"Mary HICKS";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";;
"Nov 16, 2020 @ 23:44:42.000";"Julia LUNA";0;;;
"Nov 16, 2020 @ 05:06:46.000";"Paul HAHN";0;;;
"Nov 16, 2020 @ 02:47:35.000";"Jennifer IRWIN";1;;"System.Net.Sockets.SocketException (11001): Værten kendes ikke. at System.Net.Http.ConnectHelper.ConnectAsync(String host, Int32 port, CancellationToken cancellationToken)";
"Nov 16, 2020 @ 02:23:57.000";"Willie SINGLETON";0;;;
"Nov 14, 2020 @ 19:18:47.000";"Christine HAYES";1;"Exception thrown: 'System.IndexOutOfRangeException' in ML_forcasting_test.dll 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Diagnostics.StackTrace.dll'. 'ML_forcasting_test.exe'(CoreCLR: clrhost): Loaded 'C:\Program Files\dotnet\shared\Microsoft.NETCore.App\3.1.9\System.Reflection.Metadata.dll'.at ML_forcasting_test.Program.<> c__DisplayClass2_0.< Main > b__7(DBschemeModel rental, Int32 index) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 80 at System.Linq.Enumerable.SelectIterator[TSource, TResult](IEnumerable`1 source, Func`3 selector) + MoveNext() at ML_forcasting_test.Program.< Main > g__Forecast | 2_1(IDataView testData, Int32 horizon, TimeSeriesPredictionEngine`2 forecaster, MLContext mlContext) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 90 at ML_forcasting_test.Program.Main(String[] args) in C: \Users\Bjerne\source\repos\ML_forcasting_test\Program.cs:line 51";;
